"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Build the charm-under-test and deploy it.

    Assert on the unit status before any relations/configurations take place.
    ","149480","test_build_and_deploy","tests.integration","2026-07-30","passed","2026-07-30","","test_charm","",""
"Deploy Mattermost to test the 'db' relation.

    Mattermost needs TLS enabled on PostgreSQL to correctly connect to it.

    Args:
        ops_test: The ops test framework
    ","153829","test_mattermost_db","tests.integration","2026-07-30","passed","2026-07-30","","test_tls","",""
"Test worker process configuration parameters are applied correctly.","49128","test_worker_process_configs","tests.integration","2026-07-30","passed","2026-07-30","","test_config","",""
"","96038","test_interruption_db_process[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-07-30","passed","2026-07-30","","test_self_healing_1","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","34057","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","2026-07-30","passed","2026-07-30","","test_self_healing_1","",""
"Redeploy the charm in the same model to test that it works after a forceful removal.","0","test_redeploy_charm_same_model_after_forcing_removal","tests.integration","2026-07-30","skipped","2026-07-30","","test_charm","",""
"Deploy both charms (application and database) to use in the tests.","80897","test_deploy_charms","tests.integration.relations","2026-07-30","passed","2026-07-30","","test_relations","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","263120","test_deploy_async_replication_setup","tests.integration.ha_tests","2026-07-30","passed","2026-07-30","","test_async_replication","",""
"","148413","test_legacy_and_modern_endpoints_simultaneously","tests.integration.relations","2026-07-30","passed","2026-07-30","","test_relations","",""
"Test that the admin role gives access to all the databases.","147730","test_admin_role","tests.integration.new_relations","2026-07-30","passed","2026-07-30","","test_new_relations_1","",""
"Test restart of all the units simultaneously.","109693","test_restart","tests.integration.ha_tests","2026-07-30","passed","2026-07-30","","test_restart","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","643147","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","2026-07-30","failed","2026-07-30","","test_self_healing_1","",""
"Delete headless service, verify error state, recreate, and recover.","26647","test_headless_service_error_and_recovery","tests.integration","2026-07-30","passed","2026-07-30","","test_headless_service","",""
"Test that the charm can be deployed with a storage with more restrictive permissions.","69937","test_storage_with_more_restrictive_permissions","tests.integration","2026-07-30","passed","2026-07-30","","test_charm","",""
"","83397","test_freeze_db_process[postgres]","tests.integration.ha_tests","2026-07-30","passed","2026-07-30","","test_self_healing_1","",""
"Test that check relation data.","259399","test_relations","tests.integration.new_relations","2026-07-30","passed","2026-07-30","","test_relations_coherence","",""
"Tries deploying an arm64 charm on amd64 host.","51701","test_arm_charm_on_amd_host","tests.integration","2026-07-30","passed","2026-07-30","","test_wrong_arch","",""
"Test the audit plugin.","137282","test_audit_plugin","tests.integration","2026-07-30","passed","2026-07-30","","test_audit","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","29528","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","2026-07-30","passed","2026-07-30","","test_self_healing_1","",""
"Test that async replication fails back correctly.","82167","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","2026-07-30","passed","2026-07-30","","test_async_replication","",""
"Test that the user is removed when the relation is broken.","58798","test_relation_broken","tests.integration.new_relations","2026-07-30","passed","2026-07-30","","test_new_relations_1","",""
"Test that an application can request additional databases using the same interface.","107923","test_an_application_can_request_multiple_databases","tests.integration.new_relations","2026-07-30","passed","2026-07-30","","test_new_relations_1","",""
"Build and deploy two units of PostgreSQL in GCP and then test the backup and restore actions.","0","test_backup_gcp","tests.integration","2026-07-30","skipped","2026-07-30","","test_backups_gcp","",""
"Test that in general, there is no change when password validation fails.","11558","test_no_password_change_on_invalid_password","tests.integration","2026-07-30","passed","2026-07-30","","test_password_rotation","",""
"Test that the charm can handle invalid and valid backup configurations.","0","test_invalid_config_and_recovery_after_fixing_it","tests.integration","2026-07-30","skipped","2026-07-30","","test_backups_gcp","",""
"Test basic functionality of database relation interface.","281135","test_database_relation_with_charm_libraries","tests.integration.new_relations","2026-07-30","passed","2026-07-30","","test_new_relations_1","",""
"","27","test_labels_consistency_across_pods[0]","tests.integration","2026-07-30","passed","2026-07-30","","test_charm","",""
"","39","test_application_created_required_resources","tests.integration","2026-07-30","passed","2026-07-30","","test_charm","",""
"","39312","test_constant","tests.integration.ha_tests","2026-07-30","passed","2026-07-30","","test_synchronous_policy","",""
"","23","test_labels_consistency_across_pods[1]","tests.integration","2026-07-30","passed","2026-07-30","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","30979","test_full_cluster_restart[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","2026-07-30","passed","2026-07-30","","test_self_healing_1","",""
"Test wal_compression configuration parameter.","49463","test_wal_compression_config","tests.integration","2026-07-30","passed","2026-07-30","","test_config","",""
"Build and deploy two units of PostgreSQL in microceph, test backup and restore actions.","615349","test_backup_ceph","tests.integration","2026-07-30","passed","2026-07-30","","test_backups_ceph","",""
"","2057","test_settings_are_correct[1]","tests.integration","2026-07-30","passed","2026-07-30","","test_charm","",""
"Test application deploy in dirty environment with garbage storage from another application.","85028","test_app_resources_conflicts","tests.integration.ha_tests","2026-07-30","broken","2026-07-30","","test_smoke","",""
"","82859","test_interruption_db_process[SIGKILL-postgres]","tests.integration.ha_tests","2026-07-30","passed","2026-07-30","","test_self_healing_1","",""
"Test that there is no read-only endpoint in a standalone cluster.","98743","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","2026-07-30","passed","2026-07-30","","test_new_relations_1","",""
"","39304","test_majority","tests.integration.ha_tests","2026-07-30","passed","2026-07-30","","test_synchronous_policy","",""
"Build and deploy a PostgreSQL cluster and a test application.","181125","test_deploy","tests.integration.ha_tests","2026-07-30","passed","2026-07-30","","test_restart","",""
